#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
141,OnyxcoinXCNBuy,$0.009382,0.94%,4.36%,16.99%,"$335,237,964","$27,816,8912.96B",35.72B XCN
142,WalrusWALBuy,$0.2219,0.75%,3.86%,45.84%,"$328,196,116","$68,363,259308.06M",1.47B WAL
143,Merlin ChainMERLBuy,$0.3301,0.07%,4.57%,7.85%,"$323,238,640","$38,295,801116.07M",978.95M MERL
144,CompoundCOMPBuy,$33.28,0.30%,3.77%,23.71%,"$322,643,227","$39,197,0441.17M",9.69M COMP
145,JUSTJSTBuy,$0.03224,0.48%,2.43%,3.17%,"$319,203,857","$67,239,5392.08B",9.9B JST
146,THORChainRUNEBuy,$0.8843,0.47%,4.73%,26.01%,"$310,649,931","$85,862,30396.97M",351.26M RUNE
147,ToshiTOSHIBuy,$0.0007351,0.59%,7.95%,18.54%,"$309,247,931","$47,884,31665.09B",420.67B TOSHI
148,ZKsyncZKBuy,$0.03810,1.04%,6.07%,35.17%,"$308,860,357","$42,787,5631.12B",8.1B ZK
149,DecredDCRBuy,$17.90,0.97%,1.71%,3.23%,"$305,621,458","$6,198,213345.09K",17.06M DCR
150,Brett (Based)BRETTBuy,$0.03090,0.80%,6.23%,34.23%,"$306,276,216","$53,174,6601.72B",9.91B BRETT
151,ApeCoinAPEBuy,$0.4033,0.85%,6.71%,29.30%,"$303,583,986","$65,842,676163.13M",752.65M APE
152,eCashXECBuy,$0.00001519,0.24%,3.37%,19.18%,"$302,968,026","$9,520,321626.24B",19.93T XEC
153,BeamBEAMBuy,$0.006069,0.86%,6.97%,38.06%,"$300,230,330","$22,178,2443.64B",49.46B BEAM
154,MultiversXEGLDBuy,$10.39,0.48%,3.02%,25.83%,"$298,143,910","$35,950,5463.45M",28.69M EGLD
155,LineaLINEABuy,$0.01890,0.32%,0.38%,31.82%,"$292,737,844","$183,367,5889.69B",15.48B LINEA
156,Basic Attention TokenBATBuy,$0.1946,1.75%,13.90%,32.19%,"$291,066,231","$151,972,188780.17M",1.49B BAT
157,OriginTrailTRACBuy,$0.5823,0.04%,9.82%,13.64%,"$291,170,727","$9,154,49615.73M",499.99M TRAC
158,ArweaveARBuy,$4.28,1.00%,5.64%,29.28%,"$281,583,273","$61,370,07614.30M",65.65M AR
159,dYdXDYDXBuy,$0.3532,0.38%,3.20%,43.90%,"$279,231,294","$44,321,708125.45M",790.37M DYDX
160,Axie InfinityAXSBuy,$1.66,0.45%,3.76%,26.91%,"$277,892,742","$47,141,18128.22M",166.55M AXS
161,Cheems (cheems.pet)CHEEMSBuy,$0.051469,1.14%,9.07%,18.97%,"$275,437,532","$13,837,5639.40T",187.49T CHEEMS
162,RoninRONBuy,$0.3904,0.77%,2.76%,20.64%,"$270,628,843","$6,414,08916.39M",693.12M RON
163,KAITOKAITOBuy,$1.11,0.38%,5.08%,19.13%,"$269,568,237","$34,934,53031.25M",241.38M KAITO
164,AIOZ NetworkAIOZBuy,$0.2222,0.30%,5.26%,26.01%,"$268,812,834","$12,959,17758.27M",1.2B AIOZ
